<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:409c3dc11b212671cf1a606aa866b676ba33d0bd029fc3bd48b20f392fd42b8e
size 60708
=======
DATE,ARRIVAL
2016-01-01,310.0
2016-01-02,320.0
2016-01-03,312.6666666506667
2016-01-04,300.0
2016-01-05,285.0
2016-01-06,310.0
2016-01-07,285.0
2016-01-08,275.0
2016-01-09,290.0
2016-01-10,300.0
2016-01-11,310.0
2016-01-12,320.0
2016-01-13,285.0
2016-01-14,300.0
2016-01-15,310.0
2016-01-16,400.0
2016-01-17,360.0
2016-01-18,320.0
2016-01-19,280.0
2016-01-20,260.0
2016-01-21,250.0
2016-01-22,300.0
2016-01-23,310.0
2016-01-24,315.0
2016-01-25,320.0
2016-01-26,335.0
2016-01-27,350.0
2016-01-28,280.0
2016-01-29,300.0
2016-01-30,310.0
2016-01-31,295.0
2016-02-01,280.0
2016-02-02,300.0
2016-02-03,260.0
2016-02-04,270.0
2016-02-05,255.0
2016-02-06,265.0
2016-02-07,257.5
2016-02-08,250.0
2016-02-09,300.0
2016-02-10,280.0
2016-02-11,320.0
2016-02-12,285.0
2016-02-13,330.0
2016-02-14,315.0
2016-02-15,300.0
2016-02-16,296.47058821038064
2016-02-17,300.0
2016-02-18,310.0
2016-02-19,320.0
2016-02-20,330.0
2016-02-21,332.2666666593067
2016-02-22,310.0
2016-02-23,70.0
2016-02-24,250.0
2016-02-25,260.0
2016-02-26,240.0
2016-02-27,220.0
2016-02-28,209.999999975
2016-02-29,210.0
2016-03-01,220.0
2016-03-02,210.0
2016-03-03,200.0
2016-03-04,195.0
2016-03-05,220.0
2016-03-06,205.0
2016-03-07,190.0
2016-03-08,210.0
2016-03-09,220.0
2016-03-10,210.0
2016-03-11,200.0
2016-03-12,210.0
2016-03-13,200.0
2016-03-14,190.0
2016-03-15,190.0
2016-03-16,200.0
2016-03-17,250.0
2016-03-18,247.3404255259393
2016-03-19,240.0
2016-03-20,231.8181817983471
2016-03-21,220.0
2016-03-22,200.0
2016-03-23,205.0
2016-03-24,210.0
2016-03-25,215.0
2016-03-26,180.0
2016-03-27,172.5
2016-03-28,165.0
2016-03-29,140.0
2016-03-30,180.0
2016-03-31,200.0
2016-04-01,210.0
2016-04-02,250.0
2016-04-03,255.0
2016-04-04,260.0
2016-04-05,270.0
2016-04-06,230.0
2016-04-07,260.0
2016-04-08,300.0
2016-04-09,265.0
2016-04-10,257.5
2016-04-11,250.0
2016-04-12,220.0
2016-04-13,320.0
2016-04-14,270.0
2016-04-15,325.0
2016-04-16,325.0
2016-04-17,331.24999998125
2016-04-18,350.0
2016-04-19,400.0
2016-04-20,400.0
2016-04-21,350.0
2016-04-22,450.0
2016-04-23,420.0
2016-04-24,425.0
2016-04-25,430.0
2016-04-26,400.0
2016-04-27,380.0
2016-04-28,370.0
2016-04-29,400.0
2016-04-30,520.0
2016-05-01,530.392156844752
2016-05-02,500.0
2016-05-03,450.0
2016-05-04,480.0
2016-05-05,450.0
2016-05-06,500.0
2016-05-07,460.0
2016-05-08,429.3333333173333
2016-05-09,420.0
2016-05-10,480.0
2016-05-11,450.0
2016-05-12,500.0
2016-05-13,485.0
2016-05-14,490.0
2016-05-15,500.0
2016-05-16,510.0
2016-05-17,450.0
2016-05-18,468.3760658192705
2016-05-19,531.0699612186493
2016-05-20,550.0
2016-05-21,500.0
2016-05-22,512.49999998125
2016-05-23,550.0
2016-05-24,600.0
2016-05-25,525.0
2016-05-26,550.0
2016-05-27,500.0
2016-05-28,520.0
2016-05-29,521.4285714040816
2016-05-30,500.0
2016-05-31,450.0
2016-06-01,400.0
2016-06-02,420.0
2016-06-03,450.0
2016-06-04,500.0
2016-06-05,450.0
2016-06-06,400.0
2016-06-07,450.0
2016-06-08,500.0
2016-06-09,450.0
2016-06-10,435.2272727190083
2016-06-11,425.0
2016-06-12,415.1829268224866
2016-06-13,410.0
2016-06-14,450.0
2016-06-15,500.0
2016-06-16,520.0
2016-06-17,480.0
2016-06-18,450.0
2016-06-19,443.33333330833335
