<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:1d28da8206250961a75c30439b1de46b38d1cd979751b941bba992b08f9de13b
size 553
=======
MANDINAME,DATE,ARRIVAL,MIN,MAX,PRICE
AZADPUR,01/05/2021,292.7,,,
AZADPUR,03/05/2021,16.1,200.0,1080.0,607.0
AZADPUR,04/05/2021,484.5,200.0,1080.0,607.0
AZADPUR,05/05/2021,375.6,200.0,1080.0,607.0
AZADPUR,06/05/2021,295.0,200.0,1080.0,607.0
AZADPUR,07/05/2021,320.4,200.0,1080.0,607.0
SHAHDARA,01/05/2021,175.47,300.0,700.0,500.0
SHAHDARA,02/05/2021,173.77,300.0,700.0,500.0
SHAHDARA,03/05/2021,281.47,200.0,800.0,600.0
SHAHDARA,04/05/2021,210.37,200.0,700.0,500.0
SHAHDARA,05/05/2021,178.4,300.0,800.0,500.0
SHAHDARA,06/05/2021,170.42,300.0,800.0,500.0
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
