<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:541ded7a909adfe21429e2d47e3db02adbb029b723277b2c65ceb76e14a82d6b
size 11183
=======
Centre,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/ Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Ground- nut Oil *,Must- ard Oil *,Vanas- pati *,Soya Oil *,Sun- flower Oil *,Palm Oil *,Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
AGRA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
ALLAHABAD,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
AMRITSAR,2700,1900,2100,4200,5700,4500,4200,4400,3600,4000,10000,8000,7100,8200,8000,NR,3200,19000,1700,550,1600,1500
BATHINDA,2400,1850,2050,5600,6400,5800,7200,5000,3200,4200,11000,9600,8000,8000,12000,NR,3050,19000,1650,900,1700,1900
CHANDIGARH,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
DEHRADUN,2100,1800,1900,6000,6500,7000,6700,7000,3300,4000,12800,7866,8000,7466,9633,NR,3250,20000,1580,1700,2500,2800
DELHI,2700,2060,2250,5650,6700,6750,6950,5050,3390,NR,13919,10989,8791,9670,10842,8059,3000,18600,1620,1000,850,1075
DHARAMSHALA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
GORAKHPUR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
GURGAON,2800,1800,2000,5200,6500,6400,6000,5200,3400,4100,14600,8600,8791,9450,10109,7912,3500,21500,1600,2000,2100,2600
