<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:13ae7124403436a194409045cf8afcf5d8cc9d18c83b4461b1d8ea253791c751
size 20276
=======
STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth,MAXMINRATIO,STATENAME,MANDINAME
2016-01-01,2016-02-13,,,Anomaly,0.999900009999,WEST BENGAL,RAIGANJ
2016-01-01,2016-02-13,,,Anomaly,0.9999047709741932,WEST BENGAL,MALDA
2016-01-01,2016-02-13,,,Anomaly,0.999900009999,WEST BENGAL,KHARAGPUR
2016-01-15,2016-02-27,,,Anomaly,1.1664722546242292,MADHYA PRADESH,GWALIOR
2016-02-15,2016-03-29,Anomaly,,Anomaly,0.9999047709741932,WEST BENGAL,MALDA
2016-02-15,2016-03-29,Anomaly,,Anomaly,0.999900009999,WEST BENGAL,RAIGANJ
2016-02-15,2016-03-29,Anomaly,,Anomaly,0.999900009999,WEST BENGAL,KHARAGPUR
2016-02-29,2016-04-12,Anomaly,,Anomaly,0.9998333611064822,MADHYA PRADESH,GWALIOR
2016-04-04,2016-05-17,Anomaly,,Anomaly,0.9999047709741932,WEST BENGAL,MALDA
2016-04-04,2016-05-17,Anomaly,,Anomaly,0.999900009999,WEST BENGAL,RAIGANJ
2016-04-04,2016-05-17,Normal,,Anomaly,0.9998901219646192,WEST BENGAL,PURULIA
2016-04-04,2016-05-17,Anomaly,,Anomaly,0.999900009999,WEST BENGAL,KHARAGPUR
2016-05-23,2016-07-05,Anomaly,,Anomaly,0.999900009999,WEST BENGAL,KHARAGPUR
2016-05-23,2016-07-05,Anomaly,,Anomaly,1.0998900109989,WEST BENGAL,RAIGANJ
2016-05-23,2016-07-05,Anomaly,,Normal,1.0438413361169103,WEST BENGAL,PURULIA
2016-05-23,2016-07-05,Anomaly,,Anomaly,0.9999047709741932,WEST BENGAL,MALDA
2016-07-11,2016-08-23,Anomaly,,Anomaly,1.1040516612852829,WEST BENGAL,PURULIA
2016-07-11,2016-08-23,Anomaly,,Anomaly,1.0498950104989502,WEST BENGAL,RAIGANJ
2016-07-11,2016-08-23,Anomaly,,Anomaly,0.999900009999,WEST BENGAL,KHARAGPUR
2016-07-11,2016-08-23,Anomaly,,Anomaly,0.9999047709741932,WEST BENGAL,MALDA
2016-08-29,2016-10-11,Anomaly,,Anomaly,0.999900009999,WEST BENGAL,KHARAGPUR
2016-08-29,2016-10-11,Anomaly,,Anomaly,0.9999047709741932,WEST BENGAL,MALDA
2016-08-29,2016-10-11,Anomaly,,Anomaly,0.9999056692764834,WEST BENGAL,PURULIA
2016-10-10,2016-11-22,Anomaly,,Anomaly,1.1443172980779914,WEST BENGAL,RAIGANJ
2016-10-17,2016-11-29,Anomaly,,Anomaly,0.9999047709741932,WEST BENGAL,MALDA
2016-10-17,2016-11-29,Anomaly,,Anomaly,0.999900009999,WEST BENGAL,KHARAGPUR
2016-10-17,2016-11-29,Anomaly,,Anomaly,1.0094276735548997,WEST BENGAL,PURULIA
2016-11-28,2017-01-10,Anomaly,,Anomaly,1.1443172980779914,WEST BENGAL,RAIGANJ
