<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:3c40aa77479994f038fa11a33ba2be1cb3805d679665d06acb0f625c44e5ec7c
size 22066
=======
STARTDATE,ENDDATE,MEAN,STD,VALUE,lastYear
2017-01-01,2017-02-13,156.85888194124777,164.0113560747491,4.045454545454546,Normal
2017-01-08,2017-02-20,157.20356720372914,163.70267629725092,5.447727272727272,Normal
2017-01-15,2017-02-27,157.56971869502956,163.36433109610877,7.525,Normal
2017-01-22,2017-03-06,157.8808508649315,163.04929083187992,10.056818181818182,Normal
2017-01-29,2017-03-13,158.04859088635595,162.83827089134476,12.511363636363637,Normal
2017-02-05,2017-03-20,157.97255244039962,162.81980518832626,14.995454545454544,Normal
2017-02-12,2017-03-27,157.65931187847377,162.98791299374517,16.395454545454548,Normal
2017-02-19,2017-04-03,157.1955036017187,163.2707336544158,16.56590909090909,Normal
2017-02-26,2017-04-10,156.69244625205732,163.57879238171535,15.795454545454545,Normal
2017-03-05,2017-04-17,156.28713205517514,163.80861077541013,14.579545454545455,Normal
2017-03-12,2017-04-24,156.0321755302224,163.92007484109703,13.131818181818183,Normal
2017-03-19,2017-05-01,155.96601959680874,163.87729472265286,11.588636363636363,Normal
2017-03-26,2017-05-08,156.03856823806794,163.72181106112063,11.004545454545452,Normal
2017-04-02,2017-05-15,156.23819905866188,163.46362023564942,10.877272727272727,Normal
2017-04-09,2017-05-22,156.44852799337352,163.20925495139147,11.156818181818183,Normal
2017-04-16,2017-05-29,156.6474966242539,162.97750537996896,11.447727272727272,Normal
2017-04-23,2017-06-05,156.87310042194855,162.73342037124752,11.970454545454546,Normal
2017-04-30,2017-06-12,157.05702045985936,162.5376822881358,12.069318181392047,Normal
2017-05-07,2017-06-19,157.226292612537,162.3648454295754,11.946590908664772,Normal
2017-05-14,2017-06-26,157.32193864781388,162.26741904312664,11.744318181392048,Normal
2017-05-21,2017-07-03,157.44629284426753,162.1539579286387,11.573863635937501,Normal
2017-05-28,2017-07-10,157.6023987664315,162.02101886785223,11.603409090482954,Normal
2017-06-04,2017-07-17,157.74580626307497,161.90708458003462,11.721590908664773,Normal
2017-06-11,2017-07-24,157.86980576737372,161.81816360742857,11.877272727272727,Normal
2017-06-18,2017-07-31,157.94474367782945,161.78026369178644,11.954545454545455,Normal
2017-06-25,2017-08-07,157.99410609382073,161.77250718397667,12.006818181818181,Normal
2017-07-02,2017-08-14,158.02925311342148,161.78257534511266,12.10681818181818,Normal
2017-07-09,2017-08-21,158.05705676468563,161.80368342662862,12.236363636363638,Normal
2017-07-16,2017-08-28,158.04637719872173,161.86405262263705,12.368181818181817,Normal
2017-07-23,2017-09-04,157.97879785781475,161.98001729699334,12.447727272727274,Normal
2017-07-30,2017-09-11,157.98198102691845,162.03595622190502,12.597727272727274,Normal
2017-08-06,2017-09-18,158.0298073819726,162.05261949831558,12.72272727272727,Normal
2017-08-13,2017-09-25,158.17584294222758,161.98156689735805,12.763636363636364,Normal
2017-08-20,2017-10-02,158.3041201895727,161.92897441690263,12.770454545454545,Normal
2017-08-27,2017-10-09,158.38039975037393,161.92598943325606,12.756818181818181,Normal
2017-09-03,2017-10-16,158.3929970644234,161.981678184113,12.775,Normal
2017-09-10,2017-10-23,158.4379056620761,162.01367329951276,12.738636363636363,Normal
2017-09-17,2017-10-30,158.44452346187734,162.0793244337272,12.686363636363636,Normal
2017-09-24,2017-11-06,158.33366467045022,162.25251747858604,12.57272727272727,Normal
2017-10-01,2017-11-13,158.4201371368636,162.2619218053245,12.471666666303031,Normal
2017-10-08,2017-11-20,158.4384820008483,162.31791832634394,12.337575757212123,Normal
2017-10-15,2017-11-27,158.51436620884232,162.31342513914015,12.228484848121212,Normal
2017-10-22,2017-12-04,158.6408270165738,162.26011399617394,12.12166666630303,Normal
2017-10-29,2017-12-11,158.73044570585625,162.22920381880147,12.098939393575757,Normal
2017-11-05,2017-12-18,158.6840926414228,162.3097459180577,12.11257575721212,Normal
2017-11-12,2017-12-25,158.5108605384238,162.48895923115063,12.16590909090909,Normal
2017-11-19,2018-01-01,157.9912795140144,162.70421860389627,12.257386363210225,Normal
2017-11-26,2018-01-08,155.96952165738912,162.6639071576002,12.314204545028407,Normal
2017-12-03,2018-01-15,153.81262387910152,162.7296410424183,12.371022726846592,Normal
2017-12-10,2018-01-22,151.60801038102048,162.82877549240007,12.393749999573863,Normal
2017-12-17,2018-01-29,149.56630552385548,162.77955373421045,12.443749999573862,Normal
