<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:0ccc2fe4f528f1c844572175497e91b427bd1a3bc2d8322bb98d11c2c1f10f35
size 9199
=======
Centre,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/ Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Ground- nut Oil *,Must- ard Oil *,Vanas- pati *,Soya Oil *,Sun- flower Oil *,Palm Oil *,Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
AGRA,18,19,23,75,76,78,62,65,41,48,122,88,75,82,95,66,32,200,18,5,10,10
ALLAHABAD,20,18,20,68,63,80,70,80,42,40,156,105,78,90,114,70,38,190,15,14,10,15
AMRITSAR,28,22,26,115,105,108,75,82,42,43,135,102,78,85,99,NR,40,185,18,14,13,26
BATHINDA,27,19,24,100,115,105,72,75,43,44,170,104,94,93,115,NR,45,210,18,6,15,16
CHANDIGARH,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
DEHRADUN,23,22,26,75,123,126,118,88,41,40,138,100,75,87,105,NR,34,230,17,11,15,17
DELHI,32,22,24,89,89,99,79,84,42,39,171,122,88,99,106,79,45,223,18,11,20,23
DHARAMSHALA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
GORAKHPUR,19,20,23,78,73,73,79,70,44,42,NR,115,63,80,115,70,38,180,20,8,15,10
GURGAON,40,21,22,95,120,90,58,80,41,40,95,90,74,92,94,70,38,180,18,10,13,15
HALDWANI,23,22,24,75,129,124,117,93,42,40,138,100,75,87,105,NR,34,230,17,10,14,17
HARIDWAR,23,22,25,76,129,127,117,93,42,40,135,100,75,82,108,NR,34,210,17,11,13,18
HISAR,34,22,24,85,100,95,68,75,39,40,120,109,74,93,87,70,35,180,18,10,15,20
JAMMU,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
JHANSI,25,20,24,90,80,85,75,80,39,50,NR,90,70,80,NR,NR,30,160,16,8,10,8
KANPUR,22,20,24,85,85,85,65,65,45,50,150,110,75,90,110,75,38,190,14,5,12,10
KARNAL,26,22,25,100,112,98,82,88,41,42,155,104,85,90,94,75,38,200,20,12,15,10
LUCKNOW,23,19,22,85,65,100,75,70,42,50,125,107,75,92,95,75,43,230,18,10,18,11
LUDHIANA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
MANDI,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
MEERUT,30,22,24,88,78,78,75,80,42,50,NR,98,90,NR,NR,NR,36,200,18,7,14,15
PANCHKULA,27,23,28,87,120,105,85,85,42,44,145,110,78,84,100,76,42,200,18,10,15,12
RUDRAPUR,22,22,24,74,130,125,113,93,41,40,130,94,77,85,105,NR,36,220,17,10,12,16
