<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:601bd943c5196a073ff7fd6b4591ac5684792a40729189dfe68952134c41c5cc
size 88863
=======
DATE,PRICE
2006-01-01,
2006-01-02,600.0
2006-01-03,500.0
2006-01-04,860.0
2006-01-05,500.0
2006-01-06,440.0
2006-01-07,500.0
2006-01-08,
2006-01-09,450.0
2006-01-10,350.0
2006-01-11,
2006-01-12,380.0
2006-01-13,400.0
2006-01-14,
2006-01-15,
2006-01-16,430.0
2006-01-17,480.0
2006-01-18,450.0
2006-01-19,400.0
2006-01-20,410.0
2006-01-21,
2006-01-22,
2006-01-23,450.0
2006-01-24,420.0
2006-01-25,400.0
2006-01-26,
2006-01-27,400.0
2006-01-28,400.0
2006-01-29,
2006-01-30,
2006-01-31,400.0
2006-02-01,
2006-02-02,
2006-02-03,
2006-02-04,
2006-02-05,
2006-02-06,
2006-02-07,
2006-02-08,
2006-02-09,
2006-02-10,330.0
2006-02-11,330.0
2006-02-12,
2006-02-13,320.0
2006-02-14,330.0
2006-02-15,330.0
2006-02-16,330.0
2006-02-17,320.0
2006-02-18,320.0
2006-02-19,
2006-02-20,330.0
2006-02-21,300.0
2006-02-22,320.0
2006-02-23,330.0
2006-02-24,300.0
2006-02-25,310.0
2006-02-26,
2006-02-27,
2006-02-28,
2006-03-01,
2006-03-02,
2006-03-03,
2006-03-04,
2006-03-05,
2006-03-06,
2006-03-07,
2006-03-08,
2006-03-09,
2006-03-10,
2006-03-11,
2006-03-12,
2006-03-13,
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,
2006-03-18,
2006-03-19,
2006-03-20,
2006-03-21,
2006-03-22,
2006-03-23,
2006-03-24,
2006-03-25,
2006-03-26,
2006-03-27,
2006-03-28,
2006-03-29,
2006-03-30,
2006-03-31,
2006-04-01,
2006-04-02,
2006-04-03,
2006-04-04,
2006-04-05,
2006-04-06,
2006-04-07,
2006-04-08,
2006-04-09,
2006-04-10,
2006-04-11,
2006-04-12,
2006-04-13,
2006-04-14,
2006-04-15,
2006-04-16,
2006-04-17,
2006-04-18,
2006-04-19,
2006-04-20,
2006-04-21,
2006-04-22,
2006-04-23,
2006-04-24,
2006-04-25,
2006-04-26,
2006-04-27,
2006-04-28,
2006-04-29,
2006-04-30,
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,
2006-05-05,
2006-05-06,
2006-05-07,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-13,
2006-05-14,
2006-05-15,
2006-05-16,
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-20,
2006-05-21,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,
2006-05-31,
2006-06-01,
2006-06-02,
2006-06-03,
2006-06-04,
2006-06-05,
2006-06-06,
2006-06-07,
2006-06-08,
2006-06-09,
2006-06-10,
2006-06-11,
2006-06-12,
2006-06-13,
2006-06-14,
2006-06-15,
2006-06-16,
2006-06-17,
2006-06-18,
2006-06-19,350.0
2006-06-20,350.0
2006-06-21,350.0
2006-06-22,
2006-06-23,
2006-06-24,350.0
2006-06-25,
2006-06-26,
2006-06-27,380.0
2006-06-28,
2006-06-29,
2006-06-30,
2006-07-01,
2006-07-02,
2006-07-03,
2006-07-04,
2006-07-05,
2006-07-06,
2006-07-07,360.0
2006-07-08,
2006-07-09,
2006-07-10,
2006-07-11,
2006-07-12,
2006-07-13,
2006-07-14,
2006-07-15,350.0
2006-07-16,
2006-07-17,
2006-07-18,
2006-07-19,
2006-07-20,350.0
2006-07-21,
2006-07-22,
2006-07-23,
2006-07-24,
2006-07-25,
2006-07-26,
2006-07-27,
2006-07-28,
2006-07-29,350.0
2006-07-30,
2006-07-31,
2006-08-01,340.0
2006-08-02,
2006-08-03,
2006-08-04,350.0
2006-08-05,
2006-08-06,
2006-08-07,
2006-08-08,
2006-08-09,
2006-08-10,
2006-08-11,350.0
2006-08-12,360.0
2006-08-13,
2006-08-14,
2006-08-15,
2006-08-16,
2006-08-17,360.0
2006-08-18,350.0
2006-08-19,380.0
2006-08-20,
2006-08-21,
2006-08-22,
2006-08-23,
2006-08-24,350.0
2006-08-25,
2006-08-26,300.0
2006-08-27,
2006-08-28,
2006-08-29,
2006-08-30,330.0
2006-08-31,
2006-09-01,350.0
2006-09-02,
2006-09-03,
2006-09-04,360.0
2006-09-05,
2006-09-06,360.0
2006-09-07,350.0
2006-09-08,395.0
2006-09-09,400.0
2006-09-10,
2006-09-11,395.0
2006-09-12,480.0
2006-09-13,385.0
2006-09-14,400.0
2006-09-15,380.0
2006-09-16,340.0
2006-09-17,
2006-09-18,410.0
2006-09-19,
2006-09-20,420.0
2006-09-21,
2006-09-22,480.0
2006-09-23,410.0
2006-09-24,
2006-09-25,400.0
2006-09-26,350.0
2006-09-27,420.0
2006-09-28,400.0
2006-09-29,480.0
2006-09-30,600.0
2006-10-01,
2006-10-02,
2006-10-03,
2006-10-04,
2006-10-05,
2006-10-06,
2006-10-07,400.0
2006-10-08,
2006-10-09,460.0
2006-10-10,
2006-10-11,
2006-10-12,
2006-10-13,
2006-10-14,
2006-10-15,
2006-10-16,
2006-10-17,
2006-10-18,
2006-10-19,500.0
2006-10-20,
2006-10-21,
2006-10-22,
2006-10-23,
2006-10-24,
2006-10-25,
2006-10-26,
2006-10-27,
2006-10-28,
2006-10-29,
2006-10-30,
2006-10-31,
2006-11-01,
2006-11-02,
2006-11-03,
2006-11-04,
2006-11-05,
2006-11-06,
2006-11-07,
2006-11-08,
2006-11-09,
2006-11-10,
2006-11-11,
2006-11-12,
2006-11-13,
2006-11-14,
2006-11-15,
2006-11-16,
2006-11-17,
2006-11-18,
2006-11-19,
2006-11-20,
2006-11-21,
2006-11-22,370.0
2006-11-23,
2006-11-24,
2006-11-25,385.0
2006-11-26,
2006-11-27,
2006-11-28,
2006-11-29,380.0
2006-11-30,380.0
2006-12-01,
2006-12-02,
2006-12-03,
