<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:8e3ac033a57cd4534495db06f53cec717c592c4e0c08322defba688940b462c5
size 5019
=======
Centre,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
CHANDIGARH,29,18,21,51,66,58,84,59,36,35,108,100,67,90,96,108,38,225,15,20,36,40
DELHI,27,18,21,51,73,65,78,65,36,34,169,102,82,96,106,NR,38,208,17,20,31,32
HISAR,25,16,20,61,68,68,69,NR,36,42,145,87,85,80,95,NR,35,160,15,18,30,30
KARNAL,24,18,23,44,69,60,78,NR,35,42,143,76,85,82,77,NR,37,150,16,16,30,30
SHIMLA,32,NR,22,48,75,66,82,75,36,30,176,119,88,93,NR,NR,40,160,17,20,30,45
MANDI,28,NR,22,45,74,61,80,62,35,25,NR,108,75,77,NR,NR,33,285,14,18,31,36
SRINAGAR,26,20,22,70,72,NR,NR,NR,40,30,NR,105,77,NR,NR,NR,NR,340,16,20,30,NR
JAMMU,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
AMRITSAR,35,19,21,44,69,51,70,60,38,38,145,91,67,93,97,NR,38,237,19,23,29,54
LUDHIANA,23,15,17,70,72,76,78,77,34,35,120,100,70,67,120,65,40,170,14,20,40,30
BATHINDA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
LUCKNOW,21,18,20,58,76,88,85,69,34,44,146,105,73,NR,NR,NR,41,230,16,20,30,40
KANPUR,19,17,20,45,70,75,80,60,35,44,115,90,80,NR,NR,NR,36,190,14,18,30,40
VARANASI,20,15,22,45,74,65,80,55,38,40,125,105,69,NR,NR,NR,36,230,16,20,40,30
AGRA,24,16,18,42,70,59,68,56,33,38,95,90,70,NR,NR,NR,26,250,15,14,35,30
DEHRADUN,21,16,21,50,68,55,80,NR,35,36,127,84,78,92,NR,NR,36,240,16,20,30,35
