<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:1e9d22cd0daacc054b7f225a0e5cb40da2998b6ffd3b14e99d3f27af71517562
size 60709
=======
DATE,PRICE
2016-01-01,2250.0
2016-01-02,2250.0
2016-01-03,2250.0
2016-01-04,2250.0
2016-01-05,2250.0
2016-01-06,2250.0
2016-01-07,2250.0
2016-01-08,2250.0
2016-01-09,2250.0
2016-01-10,2250.0
2016-01-11,2250.0
2016-01-12,2250.0
2016-01-13,2250.0
2016-01-14,2250.0
2016-01-15,2250.0
2016-01-16,2250.0
2016-01-17,2250.0
2016-01-18,2250.0
2016-01-19,2250.0
2016-01-20,2250.0
2016-01-21,2250.0
2016-01-22,2250.0
2016-01-23,2250.0
2016-01-24,2250.0
2016-01-25,2250.0
2016-01-26,2250.0
2016-01-27,2250.0
2016-01-28,2250.0
2016-01-29,2250.0
2016-01-30,2250.0
2016-01-31,2250.0
2016-02-01,2250.0
2016-02-02,2250.0
2016-02-03,2250.0
2016-02-04,2250.0
2016-02-05,2250.0
2016-02-06,2250.0
2016-02-07,2250.0
2016-02-08,2250.0
2016-02-09,2250.0
2016-02-10,2250.0
2016-02-11,2250.0
2016-02-12,2250.0
2016-02-13,2250.0
2016-02-14,2250.0
2016-02-15,2250.0
2016-02-16,2250.0
2016-02-17,2250.0
2016-02-18,2250.0
2016-02-19,2250.0
2016-02-20,2250.0
2016-02-21,2250.0
2016-02-22,2250.0
2016-02-23,2250.0
2016-02-24,2250.0
2016-02-25,2250.0
2016-02-26,2250.0
2016-02-27,2250.0
2016-02-28,2250.0
2016-02-29,2250.0
2016-03-01,2250.0
2016-03-02,2250.0
2016-03-03,2250.0
2016-03-04,2250.0
2016-03-05,2250.0
2016-03-06,2250.0
2016-03-07,2250.0
2016-03-08,2250.0
2016-03-09,2250.0
2016-03-10,2250.0
2016-03-11,2250.0
2016-03-12,2250.0
2016-03-13,2250.0
2016-03-14,2250.0
2016-03-15,2250.0
2016-03-16,2250.0
2016-03-17,2250.0
2016-03-18,2250.0
2016-03-19,2250.0
2016-03-20,2250.0
2016-03-21,2250.0
2016-03-22,2250.0
2016-03-23,2250.0
2016-03-24,2250.0
2016-03-25,2250.0
2016-03-26,2250.0
2016-03-27,2250.0
2016-03-28,2250.0
2016-03-29,2250.0
2016-03-30,2250.0
2016-03-31,2250.0
2016-04-01,2250.0
2016-04-02,2250.0
2016-04-03,2250.0
2016-04-04,2250.0
2016-04-05,2250.0
2016-04-06,2250.0
2016-04-07,2250.0
