<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:e1439eb89823d20a5fab7e9d98b0cf9ec28bd014928a6db3891b332d194f0654
size 21982
=======
STARTDATE,ENDDATE,MEAN,STD,VALUE,lastYear
2017-01-01,2017-02-13,78.89366351453724,47.09459215519705,125.98825566973429,Normal
2017-01-08,2017-02-20,85.10192033382695,52.16648533812313,137.2684056719501,Normal
2017-01-15,2017-02-27,87.9873303649292,55.05189536922537,143.03922573415457,Normal
2017-01-22,2017-03-06,95.97190740821733,63.17283604887716,159.1447434570945,Anomaly
2017-01-29,2017-03-13,100.96954028138974,68.535975237576,169.50551551896575,Normal
2017-02-05,2017-03-20,102.60486439195144,78.37792385428703,180.98278824623847,Normal
2017-02-12,2017-03-27,104.03958434488577,86.82956753771634,190.86915188260215,Anomaly
2017-02-19,2017-04-03,110.57367525397667,95.7500220831709,206.32369733714756,Normal
2017-02-26,2017-04-10,129.0709174944938,109.40635523277892,238.47727272727272,Normal
2017-03-05,2017-04-17,149.2186447672211,125.62226432368801,274.84090909090907,Normal
2017-03-12,2017-04-24,170.49137203994835,140.94044614186984,311.4318181818182,Normal
2017-03-19,2017-05-01,176.86742424214015,140.54166666695076,317.40909090909093,Anomaly
2017-03-26,2017-05-08,187.1477272725142,146.44318181796874,333.59090909048297,Anomaly
2017-04-02,2017-05-15,192.8068181816051,147.78409090887783,340.59090909048297,Anomaly
2017-04-09,2017-05-22,193.88636363615058,149.06818181796874,342.95454545411934,Anomaly
2017-04-16,2017-05-29,179.53409090887783,133.19318181796874,312.7272727268466,Anomaly
2017-04-23,2017-06-05,174.3977272725142,128.7386363634233,303.13636363593747,Normal
2017-04-30,2017-06-12,174.54545454524148,131.09090909069602,305.63636363593747,Normal
2017-05-07,2017-06-19,189.5568181816051,142.03409090887783,331.59090909048297,Anomaly
2017-05-14,2017-06-26,200.827020201744,141.97979798007418,342.8068181818182,Normal
2017-05-21,2017-07-03,232.0486111108349,141.31502525280146,373.3636363636364,Normal
2017-05-28,2017-07-10,270.34406565628944,143.38320707098327,413.72727272727275,Normal
2017-06-04,2017-07-17,294.014520201744,132.66729798007418,426.6818181818182,Normal
2017-06-11,2017-07-24,313.51132417873373,117.80046559342757,431.3117897721613,Normal
2017-06-18,2017-07-31,334.38632417873373,106.8118292297912,441.19815340852495,Normal
2017-06-25,2017-08-07,355.83203124971703,99.67294034062611,448.00497159034313,Normal
2017-07-02,2017-08-14,394.5820312497171,106.5138494315352,440.57315340852495,Normal
2017-07-09,2017-08-21,418.34907670426253,114.03089488608066,416.28906249943407,Normal
2017-07-16,2017-08-28,439.92862215880797,125.51953124971702,397.87997159034313,Normal
2017-07-23,2017-09-04,455.5252130678989,132.82066761335338,387.0276988630704,Normal
2017-07-30,2017-09-11,446.95454545454544,131.1818181818182,360.90909090909093,Normal
2017-08-06,2017-09-18,434.71590909090907,117.39772727272727,327.4318181818182,Normal
2017-08-13,2017-09-25,388.8181818181818,94.3409090909091,301.45454545454544,Normal
2017-08-20,2017-10-02,332.2613636363636,65.9659090909091,275.20454545454544,Normal
2017-08-27,2017-10-09,291.7386363636364,42.375,263.59090909090907,Normal
2017-09-03,2017-10-16,253.9659090909091,27.443181818181817,241.5681818181818,Normal
2017-09-10,2017-10-23,238.125,25.21590909090909,221.8181818181818,Normal
2017-09-17,2017-10-30,221.6185683812708,29.527659290361715,201.0,Normal
2017-09-24,2017-11-06,209.66402292672535,38.82311383581626,179.36363636363637,Normal
2017-10-01,2017-11-13,204.50493201753216,49.68675019935035,160.95454545454547,Normal
2017-10-08,2017-11-20,199.67083601414876,58.17993711182467,142.87726253868772,Normal
2017-10-15,2017-11-27,196.95688471163604,71.2120702325192,125.74481447911685,Normal
2017-10-22,2017-12-04,194.59324834799966,71.41661568706466,123.17663266093504,Normal
2017-10-29,2017-12-11,194.77013451218343,66.95713821488475,132.69935993366232,Normal
2017-11-05,2017-12-18,188.07695269400162,66.08213821488475,148.85845084275323,Normal
2017-11-12,2017-12-25,188.4633163304675,73.08213821498703,179.22208720638957,Normal
2017-11-19,2018-01-01,189.82709819098224,83.61684514080183,215.4708630491766,Normal
2017-11-26,2018-01-08,183.16681216354502,90.48361489828675,251.998775842787,Normal
2017-12-03,2018-01-15,173.70847883021167,99.9299005643226,281.248775842787,Anomaly
2017-12-10,2018-01-22,162.14393479085768,111.52203045007242,294.46000927069986,Anomaly
2017-12-17,2018-01-29,155.51440355049687,114.4203551800223,294.8691001797907,Anomaly
2017-12-24,2018-02-05,149.40164654561326,107.12826142412588,280.80091836160886,Anomaly
2017-12-31,2018-02-12,138.45595954626847,97.44039100603835,254.9725970642764,Anomaly
2018-01-07,2018-02-19,127.14705611557342,81.7406334051804,212.1203243370037,Anomaly
2018-01-14,2018-02-26,123.2892374465298,75.4806905245414,195.75668797336732,Normal
2018-01-21,2018-03-05,120.919978200559,68.54704496067659,171.34759706427644,Normal
2018-01-28,2018-03-12,120.41690594333217,66.65519426798983,161.3181818181818,Normal
2018-02-04,2018-03-19,120.17284643026791,72.36019527018347,154.95816115651414,Normal
2018-02-11,2018-03-26,118.50486752451948,78.32380944827187,149.86725206560504,Normal
2018-02-18,2018-04-02,120.59577661542856,85.21607604246671,146.00361570196867,Normal
2018-02-25,2018-04-09,127.50226379495194,94.56278296463934,130.95816115651414,Normal
2018-03-04,2018-04-16,137.21515023031876,108.17713048481214,120.52634297469595,Normal
2018-03-11,2018-04-23,153.96287377750167,120.67708150981056,125.95133179806281,Normal
2018-03-18,2018-04-30,158.68502857281803,122.73590217389783,121.02478268871913,Normal
2018-03-25,2018-05-07,165.34159422943097,126.6766808395634,125.11569177962821,Normal
2018-04-01,2018-05-14,174.00826089609765,130.20988231362412,133.75205541599186,Normal
2018-04-08,2018-05-21,182.86432150215828,130.76384259377207,158.82023723417367,Normal
