<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:fe597671fecfcc90ca947cade73e1eaa7b39183d1643c022a4df69a05e578e74
size 19168
=======
STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth,MAXMINRATIO
2016-01-01,2016-02-13,,,Normal,1.376757957068838
2016-01-08,2016-02-20,,,Normal,1.376757957068838
2016-01-15,2016-02-27,,,Normal,1.376757957068838
2016-01-22,2016-03-05,,,Normal,1.4329976762199843
2016-01-29,2016-03-12,,,Normal,1.5829765148401471
2016-02-01,2016-03-15,Normal,,Normal,1.6905737704918034
2016-02-08,2016-03-22,Normal,,Normal,1.7156286721504113
2016-02-15,2016-03-29,Normal,,Normal,1.7156286721504113
2016-02-22,2016-04-05,Normal,,Normal,1.7156286721504113
2016-02-29,2016-04-12,Normal,,Normal,1.5304124005697506
2016-03-07,2016-04-19,Normal,,Normal,1.4688601645123385
2016-03-14,2016-04-26,Normal,,Normal,1.1750881316098707
2016-03-21,2016-05-03,Normal,,Normal,1.1515863689776733
2016-03-28,2016-05-10,Normal,,Normal,1.1820880113401726
2016-04-04,2016-05-17,Normal,,Normal,1.1691259931895572
2016-04-11,2016-05-24,Normal,,Normal,1.2208657047724751
2016-04-18,2016-05-31,Normal,,Normal,1.2458836443468717
2016-04-25,2016-06-07,Normal,,Anomaly,1.2092534174553102
2016-05-02,2016-06-14,Normal,,Anomaly,1.2092534174553102
2016-05-09,2016-06-21,Normal,,Anomaly,2.022977022977023
2016-05-16,2016-06-28,Normal,,Normal,2.9527559055663035
2016-05-23,2016-07-05,Normal,,Normal,3.083564600655257
2016-05-30,2016-07-12,Normal,,Anomaly,3.3765032377428312
2016-06-06,2016-07-19,Normal,,Normal,3.3151680290644867
2016-06-13,2016-07-26,Normal,,Normal,3.283055421072278
2016-06-20,2016-08-02,Normal,,Normal,1.824087956021989
2016-06-27,2016-08-09,Normal,,Normal,1.5045342126957957
2016-07-04,2016-08-16,Normal,,Normal,1.824087956021989
2016-07-11,2016-08-23,Normal,,Normal,2.3283010844513337
2016-07-18,2016-08-30,Normal,,Normal,2.553663952627683
2016-07-25,2016-09-06,Normal,,Normal,2.107728337236534
2016-08-01,2016-09-13,Normal,,Normal,2.3692445239159587
