<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:28a233a3795f77e06e6906c0f0f6a2771c554ad0a645f67cfb12a93282f7613e
size 1818
=======
STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth,MAXMINRATIO,STATENAME,MANDINAME
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.311680199875078,UTTAR PRADESH,JALAUN
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.1488511488511488,KARNATAKA,DAVANGERE
2020-09-20,2020-11-02,Normal,Anomaly,Normal,1.1257660538058445,KARNATAKA,HUBLI (AMARAGOL)
2020-09-20,2020-11-02,Normal,Normal,Normal,1.4992503748125936,KARNATAKA,BELGAUM
2020-09-20,2020-11-02,Normal,Normal,Normal,1.3368240758363128,UTTAR PRADESH,GAZIPUR
2020-09-20,2020-11-02,Normal,Normal,Normal,1.310528653931586,UTTAR PRADESH,GONDA
2020-09-20,2020-11-02,Normal,Normal,Normal,1.2993503248375813,KARNATAKA,BANGALORE
2020-09-20,2020-11-02,Normal,Normal,Normal,1.2721490231712858,UTTAR PRADESH,LUCKNOW
2020-09-20,2020-11-02,Normal,Normal,Normal,1.2573030338839408,NCT OF DELHI,AZADPUR
2020-09-20,2020-11-02,Normal,Normal,Normal,1.2459321245932125,UTTAR PRADESH,BARABANKI
2020-09-20,2020-11-02,Normal,Normal,Normal,1.225740552908151,UTTAR PRADESH,KANPUR(GRAIN)
2020-09-20,2020-11-02,Normal,Normal,Normal,1.225039264078977,UTTAR PRADESH,MIRZAPUR
2020-09-20,2020-11-02,Normal,Normal,Normal,1.2234533702677748,UTTAR PRADESH,BAHRAICH
2020-09-20,2020-11-02,Normal,Normal,Normal,1.1996001332889037,MAHARASHTRA,LASALGAON
2020-09-20,2020-11-02,Normal,Normal,Normal,1.19533527696793,UTTAR PRADESH,BASTI
2020-09-20,2020-11-02,Normal,Normal,Normal,1.1941083640189374,UTTAR PRADESH,LAKHIMPUR
2020-09-20,2020-11-02,Normal,Normal,Normal,1.193102065369962,UTTAR PRADESH,AZAMGARH
2020-09-20,2020-11-02,Normal,Normal,Normal,1.1304347826086956,UTTAR PRADESH,KANNAUJ
2020-09-20,2020-11-02,Normal,Normal,Normal,1.125,UTTAR PRADESH,FATEHPUR
2020-09-20,2020-11-02,Normal,Normal,Normal,1.12,UTTAR PRADESH,PUKHRAYAN
2020-09-20,2020-11-02,Normal,Normal,Normal,1.091048968988494,UTTAR PRADESH,AURAIYA
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
