<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:b2f2768d6b67a36f1b6a3f72b187989e8d67ed95de363fa04725692f0c8b7147
size 5037
=======
Centre,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
CHANDIGARH,30,22,23,51,72,64,72,52,36,35,108,100,67,90,95,108,36,225,15,12,15,15
DELHI,28,17,19,57,80,67,84,64,37,30,163,103,76,95,106,NR,40,210,16,16,16,25
HISAR,24,14,18,61,68,68,70,NR,35,42,145,87,85,80,95,NR,33,150,15,9,27,15
KARNAL,20,17,19,50,62,50,72,NR,36,38,118,116,75,95,117,NR,33,140,13,13,18,14
SHIMLA,32,NR,22,55,70,60,80,60,37,28,165,126,75,91,NR,NR,40,160,16,16,20,20
MANDI,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
SRINAGAR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
JAMMU,33,18,19,48,70,68,78,58,37,35,157,119,70,97,110,73,37,210,16,20,20,22
AMRITSAR,35,17,19,45,69,44,74,65,39,38,142,93,65,88,96,NR,38,240,19,16,15,15
LUDHIANA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
BATHINDA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
LUCKNOW,20,15,17,67,70,71,84,60,36,40,147,110,66,NR,NR,NR,44,230,16,15,20,22
KANPUR,15,14,17,55,70,60,80,58,38,40,115,85,70,NR,NR,NR,38,190,14,14,15,15
VARANASI,16,15,19,64,65,65,80,50,38,40,125,100,69,NR,NR,NR,36,230,16,14,22,15
AGRA,19,15,18,56,68,55,68,54,36,36,110,92,68,NR,NR,NR,31,240,14,12,15,20
DEHRADUN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
RAIPUR,20,21,22,64,74,51,69,50,34,30,126,96,74,81,97,74,36,184,8,16,15,7
PANAJI,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
AHMEDABAD,19,19,16,51,65,55,71,40,35,38,134,86,60,86,87,60,44,250,14,15,19,10
RAJKOT,22,18,21,55,74,55,77,54,34,42,132,71,53,77,83,56,51,260,14,14,10,15
BHOPAL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
INDORE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
GWALIOR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
JABALPUR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
MUMBAI,27,25,29,66,80,74,88,60,38,36,130,100,100,96,98,58,48,280,16,20,18,16
NAGPUR,30,26,27,64,71,59,66,58,39,30,154,122,92,101,110,81,42,220,13,18,19,15
JAIPUR,24,17,18,42,63,44,66,48,35,26,133,79,56,86,98,NR,32,150,12,10,18,14
JODHPUR,36,15,18,43,62,45,63,NR,33,43,130,99,70,93,NR,NR,26,235,15,12,15,15
KOTA,24,15,18,50,65,40,65,41,37,28,165,90,85,83,140,NR,40,200,7,17,18,10
PATNA,26,18,20,48,68,55,72,49,36,30,NR,86,55,95,89,65,NR,160,16,9,13,12
BHAGALPUR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
RANCHI,28,21,21,52,68,NR,NR,NR,36,NR,140,95,50,NR,NR,NR,NR,240,16,12,14,10
BHUBANESHWAR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
CUTTACK,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
SAMBALPUR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
ROURKELA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
