<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:b573a15dc137e26096170b7fd2bfefb3829f603015c22baf48f5f413abc5c7ec
size 476
=======
DATE,LEAD,LAG,LEADLAG,MISSED
2016-06-10,,,,1
2016-07-02,,,,1
2016-11-14,,,,1
2016-11-24,,,,1
2017-02-27,,,,1
2017-03-16,,,,1
2017-04-01,,,,1
2017-06-02,,,1,
2017-06-29,,,,1
2017-07-08,,,,1
2017-07-23,,,,1
2017-08-01,,1,,
2017-10-23,,,,1
2017-11-17,,,,1
2017-12-02,,,,1
2018-01-19,,,,1
2018-02-16,,,,1
2018-03-18,,,,1
2018-04-23,,,,1
2018-11-20,,,,1
2020-03-30,,1,,
2020-04-01,,1,,
2020-05-05,,,1,
2020-05-23,1,,,
2020-06-23,,,,1
2020-07-02,,,,1
2020-07-19,,,,1
2020-08-24,,,,1
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
